from,to,distance
0,13,0.22234692
0,37,0.5088465
0,42,0.13740046
0,54,0.4409315
0,111,0.21944809
0,116,0.41578582
0,125,0.10258746
0,140,0.11251228
0,142,0.7216228
0,145,0.87776124
0,199,0.11980409
1,2,0.3909554
1,7,0.39045706
1,28,0.573732
1,78,0.20909733
1,107,0.16216348
1,177,0.92621875
1,183,0.15487239
2,28,0.17432716
2,49,0.441055
2,78,0.92367977
2,123,0.29931417
2,129,0.16393073
2,177,0.4829466
2,183,0.5701921
3,4,0.63372165
3,12,0.11933213
3,15,0.52255076
3,17,0.7409004
3,33,0.27014008
3,80,0.5133506
3,144,0.19402061
3,161,0.16145374
3,188,0.26349494
3,191,0.4547534
3,192,0.9461079
3,193,0.15311207
3,195,0.37622455
4,6,0.1351968
4,15,0.98319036
4,16,0.12086103
4,17,0.33143938
4,33,0.80287254
4,80,0.17518452
4,91,0.10227633
4,93,0.36137518
4,136,0.14728712
4,138,0.21767524
4,144,0.69338554
4,191,0.14448352
4,192,0.5795594
4,195,0.10796493
5,15,0.7656848
5,17,0.46013805
5,33,0.4813213
5,80,0.26647246
5,93,0.14267245
5,144,0.37403995
5,188,0.10915417
5,191,0.22514357
5,192,0.72363085
5,195,0.17413114
6,16,0.11027748
6,91,0.41100523
6,93,0.1681836
6,124,0.2577882
6,136,0.15717632
6,174,0.44043756
7,11,0.38934433
7,27,0.3810178
7,45,0.1614031
7,79,0.19941689
7,85,0.5643748
7,92,0.16190971
7,107,0.8662512
7,108,0.37140372
7,110,0.13592343
7,132,0.24100764
7,153,0.52023894
7,179,0.47941142
7,201,0.41145518
8,14,0.7252542
8,84,0.1333856
8,88,0.36536434
8,151,0.57141596
8,185,0.99572307
8,186,0.117259055
9,43,0.38995913
9,82,0.22744906
9,104,0.12187034
9,146,0.21545726
10,31,0.53705895
10,122,0.1668666
10,156,0.8570146
10,176,0.42813042
11,46,0.19881007
11,55,0.62719375
11,92,0.86680955
11,106,0.34929243
11,108,0.198185
11,132,0.11526615
11,171,0.14136736
11,179,0.12973194
12,15,0.38122058
12,17,0.40795115
12,33,0.17489836
12,80,0.666331
12,144,0.11969608
12,161,0.27771407
12,162,0.15056323
12,188,0.41608733
12,191,0.75295174
12,192,0.2903382
12,193,0.9361229
12,195,0.51949054
13,37,0.3854033
13,54,0.32551205
13,111,0.14645281
13,116,0.43837163
13,140,0.12237737
13,142,0.59056437
13,143,0.8769016
13,199,0.1301341
14,77,0.37769407
14,84,0.48345676
14,88,0.82643884
14,89,0.23596984
14,130,0.17092778
14,146,0.14649996
14,151,0.9676729
15,16,0.17352614
15,33,0.89181715
15,91,0.149014
15,93,0.46208453
15,136,0.20766354
15,138,0.29518434
15,144,0.79810935
16,23,0.15293358
16,30,0.6505544
16,38,0.6247071
16,48,0.32532525
16,64,0.119547665
16,65,0.15176916
16,91,0.1560706
16,93,0.15191436
16,101,0.36471212
16,133,0.21068032
16,134,0.124324396
16,136,0.11841923
16,138,0.16657308
16,165,0.1973278
16,166,0.9156498
16,196,0.9270501
17,80,0.93023705
17,154,0.117391974
17,157,0.21286502
17,160,0.13837677
17,161,0.52499545
17,162,0.33424896
17,188,0.6916314
